u_1,u_2,u_3,u_4,u_5,u_6,y_1,y_2,y_3,y_4,y_5,y_6
-0.155588330284427,-2.52080037256579,-11.1890921421839,-0.922366785738316,-1.02877238854656,-1.5838489626883,2.10999980615036e-05,-3.30686452827823e-05,0.000652725425996923,-1.55634212186366e-07,-5.73246500686587e-07,-7.05125012867006e-08
-0.13852746598605,-2.57662454374264,-11.1668421363974,-0.912600825025037,-1.01899548646899,-1.57261352200895,1.98078728617849e-05,-4.30324265394994e-05,0.000583498756843488,-3.28632733175566e-08,2.54200739409869e-08,8.70529869222292e-08
-0.127813708799525,-2.59422711326519,-11.1774249935363,-0.908790798949243,-1.01515834667455,-1.56921669198622,6.41602225355689e-06,-3.24536740694097e-05,0.000582228076660946,-5.45398930588098e-08,1.62052356772244e-07,-9.4848859710749e-09
-0.127583179438337,-2.58201365377752,-11.2026884188817,-0.909909492740662,-1.01641823881696,-1.57158351994379,-6.69215616365531e-06,-1.78844624730686e-05,0.000599674113682294,-2.42296338484594e-07,-2.50054625574196e-07,-2.07820904915254e-07
-0.134427993408431,-2.57030468059121,-11.214664468133,-0.9117894472191,-1.01806063006788,-1.57263461674314,-1.30642868097678e-05,-1.64441315294958e-05,0.000576338177238075,-3.78304352156721e-07,-4.70588801044804e-07,-1.00744998807082e-07
-0.139093102733725,-2.56994367360147,-11.2115079971822,-0.912578531371211,-1.01831592203261,-1.57029776098054,-1.72250745428627e-05,-2.47801573760582e-05,0.000529578145325384,-2.3459547534728e-07,2.0646420392362e-07,3.2313207439626e-07
-0.136138170917018,-2.57033995261757,-11.2104425358246,-0.912426390559827,-1.01875278496984,-1.56847816809072,-1.68932522444151e-05,-3.25852232070272e-05,0.000516033774723765,6.31287431909179e-08,9.97073528493879e-07,3.81005714821093e-07
-0.12946365578671,-2.56510503032567,-11.2202868555067,-0.911404830031528,-1.01958908948251,-1.57003285551693,-3.66543614275571e-06,-3.71172288854285e-05,0.000542784009403038,1.43264736277915e-07,2.54092879058739e-07,-3.37163296053556e-07
-0.124748968769728,-2.56109235619694,-11.2329679594352,-0.910134309743078,-1.01885038943382,-1.57305367950416,1.75770100533938e-05,-3.78919720824183e-05,0.000555989449246231,-1.00697006908466e-07,-1.59199464635198e-06,-8.68178088430347e-07
-0.123589884715134,-2.56257519574398,-11.2383812355496,-0.910151106479878,-1.01656113364688,-1.57408348710662,2.8556792318184e-05,-3.42446915324751e-05,0.000516271367863776,-2.69993199994839e-07,-1.38437169622847e-06,7.78569245474269e-08
-0.126939104641751,-2.56342480004804,-11.2387456296533,-0.91154131512702,-1.01588595996368,-1.57254970033466,2.19618936112637e-05,-2.84380601642932e-05,0.000451108855825075,3.18293907870321e-08,1.98194000769205e-06,1.56788226135771e-06
-0.135052183197617,-2.56140245299303,-11.2445915173513,-0.91236446772562,-1.01794042699548,-1.5705253829186,1.24597741249063e-05,-2.26999973496936e-05,0.000419351776432903,4.59482587625423e-07,3.60611278560496e-06,7.8487780302366e-07
-0.142733747778766,-2.56290264387653,-11.2596044357028,-0.91163556894521,-1.01902385920058,-1.56958048495398,1.61283708267274e-05,-1.87708271027109e-05,0.000438355027771924,1.92290826781808e-07,-1.34456011466557e-06,-2.28553173172585e-06
-0.143483619107817,-2.56956347713406,-11.2757492973987,-0.910748415016144,-1.01653137518268,-1.56994149338137,2.68239177350568e-05,-1.92675987089891e-05,0.0004645978728606,-6.77556963489856e-07,-7.09771722719087e-06,-2.68611490533816e-06
