# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
7.848132020777472129e-02,1.787991452221781019e-01,-6.970587040434760018e-02,1.194326756838575587e+00,9.526723517626258797e-01,2.064336336064607202e+00,1.156835981757308929e+01,5.753859403657072491e+00,3.218887908173117401e-02
6.234594668411396617e-02,1.733715998017370252e-01,-7.040285188302441988e-02,1.217655298973613132e+00,9.643540582129063177e-01,2.064371290053914620e+00,1.149280233108356519e+01,5.744738770455084520e+00,2.333525552028545280e-02
6.462358744740065442e-02,1.761549776757611596e-01,-7.111881529166966254e-02,1.217655298973613132e+00,9.643540582129063177e-01,2.064406077595653866e+00,1.153365411255492745e+01,5.688346334372656798e+00,2.303079517691441341e-02
5.737271608474014267e-02,1.749324332193610554e-01,-7.185517288311468742e-02,1.229371876189416568e+00,9.700728637587152647e-01,2.064441031584961284e+00,1.159606987000905676e+01,5.620174958718899383e+00,3.191146646818124322e-02
4.992359603645774024e-02,1.737511479717764595e-01,-7.249658201902672849e-02,1.241158194936266668e+00,9.757219277734776597e-01,2.064441031584961284e+00,1.166703132302359336e+01,5.544035599272454817e+00,1.099247481191560584e-03
4.247865253045196576e-02,1.723382478079782121e-01,-7.319936721603552410e-02,1.252909642917593658e+00,9.814407333192864957e-01,2.064441031584961284e+00,1.162763249011569933e+01,5.634178053919365325e+00,3.120891902436607904e-05
3.489277384552000316e-02,1.709520681766034389e-01,-7.390608691094457949e-02,1.264661090898920204e+00,9.871944096306186633e-01,2.064441031584961284e+00,1.159497062252786570e+01,5.655694869757831533e+00,0.000000000000000000e+00
2.720666055274890277e-02,1.693158421049709705e-01,-7.461470275964554588e-02,1.276377668114724084e+00,9.930875690040437132e-01,2.064441031584961284e+00,1.155617654911751124e+01,5.811147882481266791e+00,0.000000000000000000e+00
1.939570179566466046e-02,1.676814586504194182e-01,-7.524542713206362754e-02,1.288059374565004411e+00,9.990504699085152041e-01,2.064406160819437730e+00,1.153584844632810658e+01,5.896495953634500964e+00,-3.113124349257209364e-02
1.139326047454385267e-02,1.659199049802691506e-01,-7.584464219028023979e-02,1.299775951780807848e+00,1.005152853875079577e+00,2.064336419288391511e+00,1.154486990452075013e+01,5.990967432115859026e+00,-7.018885888579931565e-02
3.329829112337456473e-03,1.640202543506569799e-01,-7.658077892539379150e-02,1.311457658231088397e+00,1.011359850138213723e+00,2.064266677757344848e+00,1.150863357540732501e+01,6.128939288996445356e+00,-4.166113277139320975e-02
